epoch,train_loss,test_loss,test_acc,f1,precision,recall,roc_auc,cm_path,roc_path,epoch_time_sec
18,0.366250,0.410049,0.927025,0.926902,0.929912,0.927025,0.958538,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch18.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch18.png,90.130
19,0.337471,0.379940,0.945125,0.945124,0.945162,0.945125,0.979048,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch19.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch19.png,90.332
20,0.350402,0.387716,0.931825,0.931821,0.931936,0.931825,0.971152,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch20.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch20.png,90.234
21,0.333736,0.378059,0.944350,0.944349,0.944391,0.944350,0.980344,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch21.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch21.png,90.172
22,0.361499,0.406712,0.914000,0.913981,0.914368,0.914000,0.966983,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch22.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch22.png,90.183
23,0.349944,0.385602,0.935600,0.935598,0.935641,0.935600,0.974763,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch23.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch23.png,90.101
24,0.328345,0.391612,0.936700,0.936682,0.937185,0.936700,0.973407,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch24.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch24.png,90.421
25,0.365159,0.386628,0.936650,0.936643,0.936846,0.936650,0.972752,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch25.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch25.png,90.306
26,0.326300,0.372609,0.948225,0.948224,0.948244,0.948225,0.983287,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch26.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch26.png,90.221
27,0.332909,0.371072,0.948625,0.948621,0.948771,0.948625,0.975647,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch27.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch27.png,90.407
28,0.345875,0.367964,0.953900,0.953896,0.954057,0.953900,0.979090,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch28.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch28.png,90.394
29,0.315896,0.354525,0.957550,0.957546,0.957715,0.957550,0.984428,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch29.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch29.png,90.417
30,0.312647,0.360878,0.960025,0.960025,0.960027,0.960025,0.985491,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch30.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch30.png,90.205
31,0.343569,0.370299,0.949475,0.949460,0.950006,0.949475,0.981603,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch31.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch31.png,90.381
32,0.326258,0.360315,0.959875,0.959872,0.960001,0.959875,0.980226,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch32.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch32.png,90.369
