epoch,train_loss,test_loss,test_acc,f1,precision,recall,roc_auc,cm_path,roc_path,epoch_time_sec
41,0.354961,0.352827,0.969345,0.968112,0.969445,0.966877,0.988222,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch41.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch41.png,99.453
42,0.347942,0.353647,0.968482,0.967230,0.968303,0.966223,0.987253,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch42.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch42.png,113.888
43,0.356604,0.355021,0.967254,0.965905,0.967735,0.964251,0.984683,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch43.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch43.png,111.608
44,0.359498,0.352881,0.969391,0.968211,0.968725,0.967712,0.984522,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch44.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch44.png,99.436
45,0.359625,0.354498,0.967550,0.966313,0.966628,0.966004,0.977214,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch45.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch45.png,114.981
46,0.360101,0.353842,0.969027,0.967813,0.968635,0.967031,0.985717,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch46.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch46.png,124.741
47,0.358954,0.352244,0.969391,0.968142,0.969760,0.966664,0.987377,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch47.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch47.png,108.932
48,0.341880,0.352106,0.966868,0.965674,0.965073,0.966300,0.988701,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch48.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch48.png,103.050
49,0.356229,0.353801,0.967595,0.966225,0.968621,0.964117,0.988032,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch49.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch49.png,105.622
50,0.358646,0.359548,0.962732,0.961425,0.960438,0.962484,0.985315,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch50.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch50.png,120.168
